bjd_tdb,flux_rel,flux_rel_err,exptime_s,filter
61026.27827378,0.9939355,0.03709112,1.0000044,g
61026.278285355,1.0706363,0.03905127,1.0000044,g
61026.27829693,1.02250559,0.03848189,1.0000044,g
61026.278308505,1.03427818,0.03833616,1.0000044,g
61026.27832008,1.00872401,0.03747205,1.0000044,g
61026.278331655,1.01867693,0.03739274,1.0000044,g
61026.278343229,1.00476218,0.0378214,1.0000044,g
61026.278354804,1.07559002,0.03888641,1.0000044,g
61026.278366379,1.03160062,0.03774181,1.0000044,g
61026.278377954,1.0287634,0.03748121,1.0000044,g
61026.278389529,0.96029874,0.03717239,1.0000044,g
61026.278401104,0.9799782,0.0384578,1.0000044,g
61026.278412679,0.97687487,0.03845846,1.0000044,g
61026.278424253,0.94556092,0.03801231,1.0000044,g
61026.278435828,1.06538026,0.03979738,1.0000044,g
61026.278447403,1.02865292,0.0381238,1.0000044,g
61026.278458978,0.99532613,0.03841213,1.0000044,g
61026.278470553,1.01608404,0.0386494,1.0000044,g
61026.278482128,1.01433539,0.03816254,1.0000044,g
61026.278493703,1.08451229,0.03882733,1.0000044,g
61026.278505277,0.98559096,0.03685262,1.0000044,g
61026.278516852,1.0510248,0.03769925,1.0000044,g
61026.278528427,1.07165147,0.03766679,1.0000044,g
61026.278540002,1.07771049,0.03826132,1.0000044,g
61026.278551577,0.95637822,0.03662686,1.0000044,g
61026.278563152,1.02221951,0.03713308,1.0000044,g
61026.278574727,1.0384582,0.03829086,1.0000044,g
61026.278586302,1.02192303,0.03833001,1.0000044,g
61026.278597876,1.02473459,0.0376469,1.0000044,g
61026.278609451,1.06117385,0.03773784,1.0000044,g
61026.278621026,1.04463213,0.03881903,1.0000044,g
61026.278632601,1.02113679,0.03955545,1.0000044,g
61026.278644176,0.9121534,0.03732907,1.0000044,g
61026.278655751,1.06957131,0.04032521,1.0000044,g
61026.278667326,0.9869528,0.03818394,1.0000044,g
61026.2786789,0.98952937,0.03879531,1.0000044,g
61026.278690475,0.99066966,0.03815657,1.0000044,g
61026.27870205,0.92340017,0.03619367,1.0000044,g
61026.278713625,0.95972794,0.03752543,1.0000044,g
61026.2787252,0.9931681,0.03765495,1.0000044,g
61026.278736775,0.97129432,0.03745594,1.0000044,g
61026.27874835,1.04318749,0.03848317,1.0000044,g
61026.278759925,0.96052318,0.03636201,1.0000044,g
61026.278771499,0.96105972,0.03693004,1.0000044,g
61026.278783074,0.98684671,0.03848143,1.0000044,g
61026.278794649,1.04386351,0.03976422,1.0000044,g
61026.278806224,0.97955347,0.03816416,1.0000044,g
61026.278817799,0.96114688,0.03741633,1.0000044,g
61026.278829374,1.01718599,0.03859372,1.0000044,g
61026.278840949,1.01890977,0.03818418,1.0000044,g
61026.278852523,0.97045016,0.03842978,1.0000044,g
61026.278864098,0.87269807,0.03629666,1.0000044,g
61026.278875673,0.93106443,0.03708549,1.0000044,g
61026.278887248,0.91991785,0.03677426,1.0000044,g
61026.278898823,0.90415413,0.03855979,1.0000044,g
61026.278910398,0.96208661,0.03791672,1.0000044,g
