bjd_tdb,flux_rel,flux_rel_err,filter,exptime_s
60033.16047939,1.172076,0.098661,i,24.000192
60033.16051445,1.099111,0.087376,u,24.000192
60033.16054952,1.118807,0.05157,g,24.000192
60033.16054952,0.962994,0.109648,i,24.000192
60033.16061964,1.019193,0.047576,g,24.000192
60033.16061964,1.137732,0.101508,i,24.000192
60033.16065471,1.091029,0.084388,u,24.000192
60033.16068977,1.018743,0.046765,g,24.000192
60033.16068977,1.080904,0.100032,i,24.000192
60033.1607599,1.062401,0.050518,g,24.000192
60033.1607599,1.274666,0.106748,i,24.000192
60033.16079496,0.958184,0.088842,u,24.000192
60033.16083002,1.105634,0.049538,g,24.000192
60033.16083002,1.155805,0.107937,i,24.000192
60033.16090015,1.030278,0.048749,g,24.000192
60033.16090015,1.030963,0.104671,i,24.000192
60033.16093521,0.939483,0.08671,u,24.000192
60033.16097028,1.043148,0.046521,g,24.000192
60033.16097028,1.12745,0.102899,i,24.000192
60033.1610404,1.069106,0.052227,g,24.000192
60033.1610404,1.18328,0.110634,i,24.000192
60033.16107547,1.075811,0.089187,u,24.000192
60033.16111053,1.065389,0.047815,g,24.000192
60033.16111053,1.168092,0.106268,i,24.000192
60033.16118066,1.143279,0.049776,g,24.000192
60033.16118066,1.204345,0.106431,i,24.000192
60033.16121572,0.931987,0.082458,u,24.000192
60033.16125078,1.036985,0.043867,g,24.000192
60033.16125078,1.251438,0.092611,i,24.000192
60033.16132091,1.052997,0.045817,g,24.000192
60033.16132091,1.23355,0.097786,i,24.000192
60033.16135597,0.982525,0.082643,u,24.000192
60033.16139104,1.043155,0.048482,g,24.000192
60033.16139104,0.999566,0.101515,i,24.000192
60033.16146116,1.135419,0.049274,g,24.000192
60033.16146116,1.020592,0.104164,i,24.000192
60033.16149623,1.101027,0.090483,u,24.000192
60033.16153129,1.013058,0.047159,g,24.000192
60033.16153129,1.142532,0.101948,i,24.000192
60033.16160142,1.006031,0.053367,g,24.000192
60033.16160142,0.959787,0.114646,i,24.000192
60033.16163648,0.948232,0.093357,u,24.000192
60033.16167154,0.881923,0.051843,g,24.000192
60033.16167154,1.182873,0.111522,i,24.000192
60033.16174167,1.001058,0.049669,g,24.000192
60033.16174167,0.929361,0.110818,i,24.000192
60033.16177673,0.998248,0.09531,u,24.000192
60033.1618118,1.042266,0.05364,g,24.000192
60033.1618118,1.125925,0.111327,i,24.000192
60033.16188192,0.933957,0.05035,g,24.000192
60033.16188192,0.977738,0.106346,i,24.000192
60033.16191699,1.12675,0.089187,u,24.000192
60033.16195205,0.976317,0.047883,g,24.000192
60033.16195205,0.960697,0.101453,i,24.000192
60033.16202218,0.943812,0.052553,g,24.000192
60033.16202218,1.206497,0.111764,i,24.000192
60033.16205724,0.862039,0.091193,u,24.000192
60033.1620923,0.92609,0.050128,g,24.000192
60033.1620923,0.896698,0.109847,i,24.000192
60033.16216243,0.939406,0.050244,g,24.000192
60033.16216243,1.003453,0.112514,i,24.000192
60033.16219749,0.821251,0.085916,u,24.000192
60033.16223256,0.967886,0.047514,g,24.000192
60033.16223256,0.905434,0.107224,i,24.000192
60033.16230268,0.807164,0.047047,g,24.000192
60033.16230268,0.868223,0.101615,i,24.000192
60033.16233775,0.821071,0.084844,u,24.000192
60033.16237281,0.77806,0.049666,g,24.000192
60033.16237281,0.610067,0.115249,i,24.000192
60033.16244294,0.695734,0.048438,g,24.000192
60033.16244294,0.633007,0.109482,i,24.000192
60033.162478,0.672313,0.087495,u,24.000192
60033.16251306,0.660663,0.0487,g,24.000192
60033.16251306,0.785149,0.109794,i,24.000192
60033.16258319,0.677021,0.044323,g,24.000192
60033.16258319,0.662345,0.096113,i,24.000192
60033.16261825,0.594762,0.075331,u,24.000192
60033.16265332,0.613381,0.044349,g,24.000192
60033.16265332,0.760813,0.101536,i,24.000192
60033.16272344,0.622198,0.042613,g,24.000192
60033.16272344,0.742026,0.094876,i,24.000192
60033.16275851,0.466168,0.075254,u,24.000192
60033.16279357,0.602647,0.048033,g,24.000192
60033.16279357,0.742659,0.110408,i,24.000192
60033.1628637,0.663584,0.042939,g,24.000192
60033.1628637,0.6611,0.091748,i,24.000192
60033.16289876,0.565579,0.078005,u,24.000192
60033.16293382,0.504348,0.044647,g,24.000192
60033.16293382,0.645884,0.095071,i,24.000192
60033.16300395,0.513578,0.045679,g,24.000192
60033.16300395,0.723798,0.098479,i,24.000192
60033.16303901,0.531055,0.080565,u,24.000192
60033.16307408,0.630789,0.044703,g,24.000192
60033.16307408,0.702704,0.099125,i,24.000192
60033.1631442,0.631616,0.042748,g,24.000192
60033.1631442,0.702717,0.102026,i,24.000192
60033.16317927,0.577802,0.077142,u,24.000192
60033.16321433,0.607237,0.044827,g,24.000192
60033.16321433,0.556634,0.094595,i,24.000192
60033.16328446,0.685602,0.047616,g,24.000192
60033.16328446,0.775635,0.102077,i,24.000192
60033.16331952,0.794507,0.085844,u,24.000192
60033.16335458,0.900602,0.045101,g,24.000192
60033.16335458,1.008946,0.098722,i,24.000192
60033.16342471,0.846274,0.047549,g,24.000192
60033.16342471,0.851242,0.102332,i,24.000192
60033.16345977,0.764596,0.083596,u,24.000192
60033.16349484,0.870109,0.04863,g,24.000192
60033.16349484,1.045919,0.114404,i,24.000192
60033.16356496,0.947023,0.048776,g,24.000192
60033.16356496,0.958726,0.10321,i,24.000192
60033.16360003,0.925282,0.091714,u,24.000192
60033.16363509,0.924816,0.052375,g,24.000192
60033.16363509,1.039322,0.116109,i,24.000192
60033.16370522,0.994366,0.048331,g,24.000192
60033.16370522,0.861253,0.108127,i,24.000192
60033.16374028,0.82773,0.087131,u,24.000192
60033.16377534,1.045993,0.047939,g,24.000192
60033.16377534,0.953574,0.103088,i,24.000192
60033.16384547,1.034168,0.05037,g,24.000192
60033.16384547,0.924212,0.104296,i,24.000192
60033.16388053,1.095007,0.087227,u,24.000192
60033.1639156,1.014367,0.046697,g,24.000192
60033.1639156,1.128225,0.099455,i,24.000192
60033.16398572,1.038609,0.048443,g,24.000192
60033.16398572,0.914507,0.097447,i,24.000192
60033.16402079,1.046313,0.087234,u,24.000192
60033.16405585,1.070966,0.048351,g,24.000192
60033.16405585,1.053769,0.106269,i,24.000192
60033.16412598,1.099895,0.046859,g,24.000192
60033.16412598,1.112993,0.104015,i,24.000192
60033.16416104,1.022429,0.081017,u,24.000192
60033.1641961,1.03467,0.046147,g,24.000192
60033.1641961,0.972576,0.09784,i,24.000192
60033.16426623,1.022274,0.047135,g,24.000192
60033.16426623,1.079906,0.10037,i,24.000192
60033.16430129,1.026589,0.086293,u,24.000192
60033.16433636,0.96288,0.045935,g,24.000192
60033.16433636,1.130044,0.103926,i,24.000192
60033.16440648,1.134382,0.049924,g,24.000192
60033.16440648,1.034941,0.107444,i,24.000192
60033.16444155,1.052995,0.086529,u,24.000192
60033.16447661,1.015688,0.048748,g,24.000192
60033.16447661,1.251053,0.098701,i,24.000192
60033.16454674,0.975412,0.045842,g,24.000192
60033.16454674,0.981546,0.098098,i,24.000192
60033.1645818,1.038154,0.079553,u,24.000192
60033.16461687,0.992238,0.043844,g,24.000192
60033.16461687,0.982402,0.0969,i,24.000192
60033.16468699,1.048162,0.04635,g,24.000192
60033.16468699,0.977767,0.098054,i,24.000192
60033.16472206,1.088629,0.090562,u,24.000192
60033.16475712,1.040605,0.057454,g,24.000192
60033.16475712,1.12033,0.1242,i,24.000192
60033.16482725,1.034616,0.050757,g,24.000192
60033.16482725,0.927333,0.115017,i,24.000192
60033.16486231,0.962192,0.093689,u,24.000192
60033.16489737,1.004626,0.048711,g,24.000192
60033.16489737,0.87112,0.101164,i,24.000192
60033.1649675,1.168451,0.050499,g,24.000192
60033.1649675,1.041254,0.105509,i,24.000192
60033.16500256,0.949488,0.089048,u,24.000192
60033.16503763,1.067665,0.04631,g,24.000192
60033.16503763,1.026969,0.099511,i,24.000192
60033.16510775,1.047624,0.047112,g,24.000192
60033.16510775,1.134052,0.10029,i,24.000192
60033.16514282,1.195838,0.085426,u,24.000192
60033.16517788,1.068925,0.048405,g,24.000192
60033.16517788,1.028981,0.10508,i,24.000192
60033.16524801,1.055495,0.049889,g,24.000192
60033.16524801,0.960672,0.10371,i,24.000192
60033.16528307,1.162247,0.087136,u,24.000192
60033.16531813,1.105501,0.047511,g,24.000192
60033.16531813,1.006164,0.103991,i,24.000192
60033.16538826,1.064661,0.04983,g,24.000192
60033.16538826,0.901988,0.102319,i,24.000192
60033.16542332,1.171477,0.08877,u,24.000192
60033.16545839,0.934971,0.046348,g,24.000192
60033.16545839,1.100709,0.101276,i,24.000192
60033.16552851,0.989286,0.04695,g,24.000192
60033.16552851,1.033128,0.101355,i,24.000192
60033.16556358,0.950601,0.079548,u,24.000192
60033.16559864,0.95475,0.046221,g,24.000192
60033.16559864,0.935873,0.101229,i,24.000192
60033.16566877,0.995441,0.047092,g,24.000192
60033.16566877,1.042385,0.101502,i,24.000192
60033.16570383,0.986541,0.079446,u,24.000192
60033.16573889,1.031365,0.043878,g,24.000192
60033.16573889,0.945909,0.094908,i,24.000192
60033.16580902,1.010699,0.046137,g,24.000192
60033.16580902,1.050238,0.095921,i,24.000192
60033.16584408,1.148835,0.085164,u,24.000192
60033.16587915,0.948617,0.050342,g,24.000192
60033.16587915,0.915217,0.108365,i,24.000192
60033.16594927,1.031432,0.047732,g,24.000192
60033.16594927,1.007134,0.106045,i,24.000192
60033.16598434,0.902438,0.084343,u,24.000192
60033.1660194,1.045113,0.04558,g,24.000192
60033.1660194,0.983379,0.099542,i,24.000192
60033.16608953,1.005743,0.046916,g,24.000192
60033.16608953,2.638389,0.115158,i,24.000192
