mjd,flux_uJy,flux_err_uJy,filter,mag_5sigma_limit
60217.390263,29,44,o,17.95
60217.394933,16,73,o,17.36
60217.395854,-120,76,o,17.44
60263.240357,30,18,o,18.98
60263.243555,62,20,o,18.99
60263.272266,53,15,o,19.03
60263.275452,33,15,o,19.04
60273.94664,34,46,o,17.92
60273.951831,32,36,o,18.0
60273.98718,62,32,o,18.44
60273.990066,80,25,o,18.4
60276.949201,-62,36,o,18.11
60276.95208,39,38,o,18.17
60276.957274,8,53,o,18.04
60276.967386,-29,26,o,18.38
60285.956532,35,15,o,19.23
60285.959385,18,16,o,19.17
60285.991219,44,13,o,19.32
60285.994549,30,13,o,19.38
60296.199927,12,15,o,19.25
60296.224954,55,13,o,19.35
60296.228166,49,11,o,19.38
60296.233712,57,12,o,19.32
60298.003991,21,12,o,19.54
60298.007184,5,12,o,19.54
60298.032922,52,12,o,19.64
60298.035833,55,10,o,19.62
60300.209502,15,29,o,18.93
60300.212334,47,28,o,18.97
60300.217448,43,20,o,18.95
60300.248495,-8,19,o,19.16
60301.975245,54,22,o,18.71
60304.234438,2302,926,o,14.56
60304.260152,732,498,o,16.56
60304.263323,-210,3492,o,15.26
60304.268807,396,235,o,15.73
60308.203996,41,29,o,18.37
60308.226497,19,20,o,18.87
60308.229272,51,19,o,18.86
60308.232452,50,20,o,18.81
60312.220057,40,14,o,19.16
60312.222917,72,21,o,19.1
60312.226124,42,15,o,19.14
60312.231181,52,18,o,19.16
60312.359474,10,17,o,19.03
60314.039129,23,12,o,19.38
60314.040969,26,14,o,19.39
60314.043754,42,14,o,19.34
60314.051151,36,14,o,19.42
60316.227844,51,19,o,19.42
60316.229222,37,12,o,19.45
60316.229674,74,17,o,19.49
60316.232072,55,10,o,19.43
60316.232972,65,21,o,19.48
60316.238547,33,16,o,19.51
60316.248777,23,12,o,19.42
60316.254778,27,12,o,19.38
60320.25074,214,90,o,18.5
60320.258536,-2505452132,9743424956,o,-2.74
60320.271479,53,46,o,18.04
60321.937918,15,10,c,19.63
60321.940834,48,12,c,19.6
60321.943135,52,11,c,19.58
60321.944036,30,10,c,19.59
60321.946515,50,9,c,19.65
60321.979326,33,10,c,19.65
60321.980592,46,8,c,19.61
60321.985851,33,10,c,19.63
60324.190137,29,16,o,19.35
60324.214771,26,13,o,19.39
60324.236305,38,13,o,19.4
60324.240464,40,20,o,19.37
60328.192751,35,10,o,19.39
60328.19606,26,15,o,19.3
60328.198782,58,14,o,19.38
60328.203876,53,10,o,19.42
60332.199258,54,15,o,18.89
60332.202118,50,16,o,18.92
60332.20935,12,22,o,18.89
60332.219412,66,14,o,18.89
60333.944379,17,24,o,18.82
60333.951188,65,45,o,17.58
60333.953032,55,54,o,17.61
60333.964149,38,21,o,18.88
60336.183228,64,22,o,18.62
60336.18606,19,27,o,18.6
60336.199953,38,26,o,18.63
60336.20548,33,25,o,18.6
60337.942662,3789,3347,o,13.23
60337.952762,-4,549,o,15.9
60337.955866,121699137498,280166950579,o,-4.59
60337.982191,32587449142,43714870800,o,-4.69
60337.985394,-316,1586,o,13.92
60337.990543,-895,858,o,14.99
60340.228156,70,23,o,19.1
60340.230009,45,16,o,19.06
60340.232763,43,16,o,19.13
60340.238241,71,22,o,19.06
60342.028546,-17,13,o,19.25
60342.031378,27,12,o,19.26
60342.038968,6,15,o,19.25
60342.049952,28,14,o,19.23
60342.1214,20,17,o,19.02
60344.250857,12,27,o,18.59
60344.28405,-16,121,o,16.7
60344.287253,-37,45,o,17.89
60344.292627,64,50,o,18.02
60345.961831,62,12,o,19.51
60345.965048,16,14,o,19.51
60345.970693,74,12,o,19.52
60345.986165,24,10,o,19.6
60348.220985,29,14,o,19.34
60348.223777,27,18,o,19.22
60348.245773,14,15,o,19.26
60348.274046,25,14,o,19.39
60349.985364,45,17,o,18.95
60350.013638,57,18,o,18.77
60350.016648,32,22,o,18.67
60350.022284,11,23,o,18.64
60352.205854,70,15,o,19.53
60352.208623,44,13,o,19.51
60352.211383,35,12,o,19.55
60352.24673,5,10,o,19.55
60353.980536,31,10,o,19.59
60353.985274,33,10,o,19.59
60354.019136,28,11,o,19.6
60354.024355,45,12,o,19.57
60356.240938,14,13,o,19.44
60356.243766,38,11,o,19.44
60356.278958,10,14,o,19.41
60356.307444,37,16,o,19.41
60358.01937,30,10,o,19.48
60358.023059,44,11,o,19.4
60358.059915,7,13,o,19.33
60358.068824,12,12,o,19.33
60360.204183,39,19,o,19.08
60360.213464,74,20,o,18.7
60360.246609,19,20,o,19.13
60360.249811,40,18,o,19.11
60361.972797,30,20,o,18.91
60361.975585,12,18,o,18.85
60361.981063,50,23,o,18.84
60362.016202,38,22,o,18.81
60364.20506,8,34,o,18.42
60364.211109,69,33,o,18.34
60364.213874,-10,34,o,18.4
60364.245092,19,34,o,18.48
60365.206595,87,70,o,17.69
60365.217597,22,65,o,17.86
60365.220776,-26,43,o,18.12
60365.226751,118,38,o,18.23
60365.935534,72,24,o,18.65
60365.938754,66,27,o,18.64
60365.944756,78,22,o,18.71
60365.979835,33,34,o,18.47
60365.987553,30,29,o,18.45
60368.195333,26,20,o,18.92
60368.198582,31,20,o,18.88
60368.229768,51,19,o,18.86
60368.236207,-1,19,o,18.92
60369.265534,-6,16,o,19.02
60369.281618,36,14,o,19.0
60369.308009,30,23,o,18.94
60369.322213,20,18,o,18.93
60369.961638,26,15,o,19.11
60369.964897,49,17,o,19.07
60369.970028,24,36,o,18.77
60369.980349,47,18,o,19.02
60370.146801,40,72,o,17.5
60377.924812,-9,9,c,19.87
60377.928072,62,8,c,19.87
60377.933612,53,8,c,19.83
60377.94403,44,8,c,19.82
60380.17534,46,13,o,19.37
60380.178552,47,16,o,19.38
60380.184546,20,15,o,19.42
60380.196497,44,18,o,19.39
60381.929775,-1205282678,4635702606,c,-2.34
60381.93846,7502267220,5778773400,c,-2.43
60382.062036,35,12,c,19.54
60384.160462,21,13,o,19.36
60384.164102,28,14,o,19.28
60384.169226,32,13,o,19.39
60384.180229,42,13,o,19.3
60385.816843,24,15,o,19.37
60385.819746,20,15,o,19.37
60385.822962,23,12,o,19.4
60385.859349,36,14,o,19.39
60388.162764,45,18,o,19.16
60388.165938,37,16,o,19.18
60388.173287,39,16,o,19.16
60388.183075,10,14,o,19.11
60389.945012,19,21,o,19.09
60389.948354,6,22,o,19.06
60389.955451,23,28,o,18.93
60389.968055,30,22,o,19.0
60391.391737,56,40,o,18.15
60391.427361,-27,41,o,18.12
60391.430625,30,41,o,18.14
60391.435959,99,41,o,18.05
60392.149897,17,20,o,18.78
60392.153097,35,23,o,18.69
60392.158598,34,22,o,18.75
60392.16923,14,24,o,18.76
60393.889003,-5,25,o,18.38
60393.89222,54,32,o,18.41
60393.897782,69,84,o,16.8
60393.909304,-20,34,o,18.25
60396.147459,74,31,o,18.76
60396.150702,-1,25,o,18.73
60396.157123,-27,22,o,18.71
60396.167337,50,27,o,18.73
60397.166295,48,18,o,18.87
60397.169485,6,21,o,18.85
60397.191135,0,19,o,18.85
60397.196655,16,21,o,18.82
60397.894614,-2,21,o,18.94
60397.897867,30,19,o,18.98
60397.903842,16,22,o,18.86
60397.916279,12,15,o,19.01
60400.149633,35,14,o,19.22
60400.152799,-3,16,o,19.12
60400.158299,48,20,o,19.2
60400.168332,24,22,o,19.16
60404.102357,20,6,o,20.21
60404.120997,26,7,o,20.18
60404.196286,34,8,o,20.17
60407.078641,28,7,o,19.99
60407.100276,13,9,o,20.01
60407.121583,29,8,o,20.01
60410.077865,16,9,o,19.76
60410.097584,24,8,o,19.86
60410.113206,30,9,o,19.91
60412.825035,14,7,o,20.14
60412.837534,32,6,o,20.13
60412.857184,29,8,o,20.0
60416.092774,-2,28,o,19.08
60416.103862,5,27,o,19.1
60416.107066,16,14,o,19.12
60416.113528,30,20,o,19.03
60416.120406,11,14,o,19.13
60416.124503,1,17,o,19.15
60416.133514,31,14,o,19.21
60416.144515,33,14,o,19.24
60417.848421,0,16,o,19.14
60417.851618,42,16,o,19.15
60417.857541,27,16,o,19.29
60417.869598,23,16,o,19.28
60420.102024,12,19,o,18.92
60420.105204,36,26,o,18.93
60420.111175,74,23,o,18.89
60420.122096,41,22,o,18.97
60424.100822,57,25,o,18.46
60424.10406,3,26,o,18.46
60424.11068,27,22,o,18.43
60424.120449,52,30,o,18.46
60425.151026,18,24,o,18.7
60425.153793,25,18,o,18.67
60425.176655,44,30,o,18.55
60425.18316,39,28,o,18.54
60428.112495,40,21,o,18.97
60428.115681,25,25,o,18.75
60428.122219,10,23,o,18.85
60428.14692,9,30,o,18.42
60429.809301,56,10,c,19.69
60429.813156,45,8,c,19.72
60429.818672,70,9,c,19.64
60429.832787,26,11,c,19.63
60429.844745,32,8,c,19.56
60432.072615,36,14,o,19.39
60432.076794,42,17,o,19.38
60432.082011,33,15,o,19.38
60432.09407,22,19,o,19.29
60433.815638,16,10,c,19.44
60433.819045,34,14,c,18.97
60433.824429,31,12,c,19.49
60433.834369,56,11,c,19.5
60436.071919,30,16,o,19.33
60436.077038,47,16,o,19.33
60436.080701,8,17,o,19.28
60436.100184,12,15,o,19.28
60440.050912,-27,20,o,19.17
60440.056164,45,16,o,19.17
60440.059343,48,20,o,19.21
60440.071221,25,20,o,19.13
60441.797932,35,12,c,19.45
60441.801854,47,11,c,19.48
60441.809149,65,11,c,19.48
60441.819181,37,10,c,19.46
60444.041741,18,19,o,19.18
60444.045424,35,15,o,19.26
60444.051877,-46,35,o,18.48
60444.062361,26,16,o,19.18
60445.79596,23,20,o,18.97
60445.799084,36,19,o,18.92
60445.805979,38,18,o,19.0
60445.821855,37,16,o,19.05
60448.061441,-4,20,o,18.9
60448.064207,38,18,o,18.93
60448.070634,5,19,o,18.89
60448.085991,50,17,o,18.82
60449.043323,23,19,o,18.97
60449.060113,37,20,o,18.96
60449.06332,22,17,o,18.95
60449.069695,25,21,o,18.93
60449.778794,36,23,o,18.74
60449.784166,40,21,o,18.78
60449.788081,38,25,o,18.77
60449.800776,20,32,o,18.08
60453.78793,25,36,o,18.15
60453.793278,-19,36,o,18.22
60453.796115,47,37,o,18.2
60453.808295,43,42,o,18.25
60456.040682,95,31,o,18.43
60456.043896,-1,21,o,18.75
60456.050164,25,27,o,18.83
60456.077125,24,26,o,18.76
60457.026596,37,14,o,19.21
60457.042751,34,16,o,19.13
60457.045552,72,14,o,19.1
60457.051086,30,18,o,19.1
60457.803401,24,15,o,19.41
60457.806746,38,14,o,19.41
60457.82898,27,13,o,19.22
60457.834963,45,15,o,19.2
60460.02536,45,12,c,19.53
60460.030498,73,16,c,19.48
60460.034313,53,14,c,19.53
60460.048391,64,12,c,19.48
60461.776656,23,17,o,19.22
60461.873334,47,13,o,19.16
60461.893118,22,17,o,19.17
60461.903366,7,14,o,19.15
60464.009827,-104,160,c,16.5
60464.022059,8606006128,8074771182,c,-2.56
60464.037833,370,192,c,16.66
60468.006628,84,10,c,19.57
60468.009998,61,10,c,19.49
60468.01603,52,12,c,19.58
60468.026053,67,10,c,19.54
60477.722313,2729,18,o,18.78
60477.72554,18,22,o,18.79
60477.731199,20,19,o,18.79
60477.755623,44,21,o,18.7
60481.758416,-90,58,o,17.75
60481.761616,25,83,o,17.46
60481.768035,38,36,o,18.26
60481.778589,32,42,o,18.0
60485.724634,21,14,o,19.23
60485.727426,22,16,o,19.22
60485.732683,27,15,o,19.23
60485.744637,13,17,o,19.19
60491.97015,46,14,o,19.13
60491.973384,42,17,o,19.22
60491.978555,9,15,o,19.19
60491.988607,50,12,o,19.17
60493.784477,45,12,c,19.24
60493.809132,20,12,c,19.23
60493.813578,41,15,c,19.15
60493.819006,55,14,c,19.19
60495.960509,-16,70,o,17.15
60495.963722,26,42,o,17.49
60495.969219,-195,445,o,17.0
60495.98039,8,72,o,17.36
60497.764035,58,18,c,18.97
60497.767326,41,15,c,19.12
60497.792006,33,35,c,18.26
60497.797496,32,36,c,18.15
60499.962444,17,19,o,19.01
60499.965651,60,21,o,19.15
60499.971139,0,14,o,19.16
60499.994849,43,12,o,19.22
60503.958421,46,29,o,18.32
60503.961575,4,23,o,18.63
60503.969259,16,21,o,18.85
60503.983852,28,19,o,18.92
60507.965736,18,26,o,18.7
60507.969792,18,30,o,18.72
60507.975219,-29,28,o,18.73
60507.98612,40,28,o,18.71
60512.015323,-74,55,o,17.71
60512.020052,-25,64,o,17.36
60512.031654,-69,56,o,17.64
60512.0369,-63,63,o,17.49
60515.982759,38,18,o,18.83
60515.987319,21,18,o,18.89
60515.988221,24,18,o,18.99
60515.99241,-13,19,o,19.03
60516.000395,11,18,o,18.89
60516.002199,40,19,o,18.98
60516.007385,8,16,o,18.9
60516.015264,15,21,o,18.92
60519.982219,45,17,c,18.99
60519.98509,91,26,c,18.47
60519.990658,74,87,c,17.04
60520.013864,20,13,c,19.15
60613.997056,26,41,c,18.12
60620.337602,-1,17,o,19.14
60620.343008,-5,16,o,19.18
60620.353954,73,19,o,19.06
60620.358647,68,26,o,18.94
60621.983315,25,60,c,18.28
60621.986134,17,40,c,18.38
60621.993726,-11,109,c,18.29
60622.003608,33,22,c,18.72
60622.079543,56,19,c,19.04
60622.097875,38,26,c,18.54
60622.100652,89,22,c,18.84
60622.105212,104,28,c,18.51
60636.225938,19,19,o,18.76
60636.229202,34,22,o,18.76
60636.234731,13,23,o,18.77
60636.269847,55,19,o,18.91
60646.036147,34,19,o,18.73
60646.054107,22,12,o,19.42
60646.057278,15,11,o,19.41
60646.074074,22,12,o,19.34
60648.281629,60,10,c,19.38
60648.303677,24,10,c,19.51
60648.306852,58,11,c,19.45
60648.321291,42,10,c,19.48
60650.072705,40,34,o,18.3
60650.077149,49,35,o,18.34
60650.081917,48,38,o,18.01
60650.09375,9,64,o,17.77
60650.097023,148,78,o,17.55
60654.015264,40,17,o,19.3
60654.01847,49,14,o,19.25
60654.043783,28,17,o,19.2
60654.049231,23,17,o,18.94
