mjd,flux_uJy,flux_err_uJy,filter,mag_5sigma_limit
58493.555905,97,33,c,18.5
58493.55682,0,0,c,-2.46
58493.563142,92,59,c,18.17
58495.568898,-52,18,o,19.05
58495.579409,-22,17,o,19.09
58495.582639,3,18,o,18.88
58495.589124,-17,17,o,19.09
58495.592372,16,17,o,18.96
58495.598853,21,17,o,19.08
58495.602085,-52,16,o,19.0
58495.611793,-7,16,o,19.03
58497.516826,42,12,o,19.31
58497.52793,1,17,o,19.34
58497.532963,61,17,o,19.18
58497.536338,6,15,o,19.34
58497.540184,15,18,o,19.28
58497.5411,17,16,o,19.12
58497.547045,47,18,o,19.35
58497.54933,33,13,o,19.18
58497.550245,53,19,o,19.33
58497.556118,36,16,o,19.13
58497.558406,36,13,o,19.32
58497.569738,32,18,o,19.34
58507.481787,-113,30,o,18.2
58507.490536,-8,34,o,18.32
58507.500669,23,30,o,18.34
58519.499871,6,16,o,19.0
58519.512762,-15,19,o,18.96
58519.521053,-36,17,o,18.96
58519.527499,0,20,o,18.95
58523.483459,19,19,o,18.81
58523.49497,-57,22,o,18.81
58523.496352,30,16,o,18.89
58523.50695,-33,20,o,18.81
58527.464773,-470,287,o,18.54
58527.470302,-148,48,o,18.52
58527.47076,2,22,o,19.12
58527.47537,-154,39,o,18.61
58527.477217,-12,22,o,18.99
58527.485514,10,20,o,19.08
58527.486896,-40,24,o,18.77
58527.492422,-31,20,o,19.03
58531.468372,-9,38,o,18.03
58531.478066,-108,52,o,17.91
58531.479447,-12,35,o,17.91
58531.486845,5,49,o,17.91
58531.487766,-60,55,o,17.93
58531.489147,-12,41,o,17.85
58531.49652,77,53,o,17.95
58531.49744,29,50,o,17.95
58531.498821,5,41,o,17.96
58531.50623,4,50,o,18.02
58531.508537,-34,39,o,17.92
58531.515912,-28,60,o,17.96
58539.444299,13,21,o,18.64
58539.453054,16,23,o,18.66
58539.459043,-5,19,o,18.86
58539.461356,-7,22,o,18.73
58539.467346,15,18,o,18.86
58539.470114,-18,24,o,18.8
58539.476105,-10,18,o,18.81
58539.484902,19,22,o,18.78
58543.428534,-8,19,o,18.76
58543.430838,40,17,o,19.08
58543.433139,23,18,o,18.8
58543.443268,2,17,o,18.88
58543.445111,20,17,o,19.06
58543.453406,-6,18,o,19.07
58543.455246,12,18,o,18.86
58543.459393,30,15,o,19.09
58547.419212,56,64,o,17.86
58547.422913,55,76,o,17.19
58547.427526,-25,80,o,18.36
58547.431213,-7,30,o,18.6
58547.432594,46,30,o,18.3
58547.433976,-30,46,o,18.43
58547.440417,-41,23,o,18.75
58547.442263,-2,29,o,18.3
58547.443647,40,28,o,18.68
58547.453322,21,26,o,18.73
58547.454706,11,20,o,18.82
58547.458389,8,23,o,18.75
58551.427727,-18,22,o,18.33
58551.436978,33,18,o,18.6
58551.43744,-4,22,o,18.51
58551.446205,-6,24,o,18.56
58551.446666,-56,22,o,18.4
58551.455939,-42,20,o,18.64
58551.4564,-23,23,o,18.47
58551.465657,4,19,o,18.77
58555.428882,2183128085,12371059148,o,-3.32
58555.432135,6590822272,12543823033,o,-3.06
58555.438143,10,17,o,18.66
58555.441369,-14,20,o,19.0
58555.447378,-46,18,o,18.65
58555.451069,-11,65,o,17.92
58555.460315,-5621258876,11041758506,o,-2.96
58559.401729,28,32,o,18.43
58559.403577,-63,52,o,17.95
58559.410025,-31,34,o,18.39
58559.411871,-5,33,o,18.01
58559.417868,79,30,o,18.43
58559.419712,-791,121,o,18.08
58559.42619,14,34,o,18.42
58559.428032,57,34,o,18.18
58565.440236,21,30,o,18.53
58565.447737,19,26,o,18.5
58567.373651,-32,37,o,18.44
58567.381507,48,152,o,17.46
58567.389343,44,128,o,17.08
58567.397198,-441,537,o,16.4
58567.402723,39918659439,45381212836,o,-4.22
58571.374345,1,21,o,18.79
58571.382192,19,18,o,18.79
